,Termination_Status,predicted,match,Termination_Status,employee_id,location_tier,location_cost,location_reporting,restated_LOB,tenure,age,qc_non_qc,is_people_manager,job_family_group,gender,management_level_category,management_chain_level_employee,Job_level,is_DQC,Stock_Eligible,remote_location,Plan_Category,compensation_usd,competitive_base_pay_market_position,competitive_total_target_cash_market_position,base_pay_compa_ratio,total_target_cash_compa_ratio,Time_in_Job_Profile,bonus_eligible,promotion_count_rolling_2_years,transfer_count_rolling_2_years,change_job_type_count_rolling_2_years,time_since_last_promotion_in_years,time_since_last_transfer_in_years,time_since_last_change_job_type_in_years,Change_in_Individual_management_level,Change_in_job_level,current_vs_average_compensation_job_level,current_vs_average_tenure_job_level,current_vs_average_tenure,%_Abover_or_Below_Average_Compensation_job_level,%_Abover_or_Below_Average_Tenure_job_level,%_Abover_or_Below_Average_Tenure_Company,termination_date
0,No,No,True,No,5132,Tier 1,Low-Cost,Bangalore,Engineering,15.42,37,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC5,Unknown,Yes,No,VCIP Plan,91827.41,3,3,1.093,1.097,3.832991,Yes,0,0,0,3.835616,15.42,15.42,No,No,Higher than average,Higher than average,Higher than average,21.71,129.67,257.84,
1,No,No,True,No,40993,Tier 1,High-Cost,Raleigh,Engineering,0.5,33,NON QC,No,Engineering,Female,Individual Contributor/Support,5,IC4,Unknown,No,No,VCIP Plan,187000.0,2,2,0.899,0.862,0.514715,Yes,0,0,1,0.5,0.5,0.3,No,No,Higher than average,Lower than average,Lower than average,30.92,-79.56,-88.4,
2,No,Yes,False,No,37580,All Others,High-Cost,All Other EMEA,Sales & Services,2.17,50,QC,No,Sales,Male,Individual Contributor/Support,4,IC3,No,Yes,No,Comission Plan,126730.25,3,3,0.976,0.976,2.239561,Yes,0,0,0,2.17,2.17,2.17,No,No,Higher than average,Lower than average,Lower than average,2.34,-52.28,-49.64,
3,No,No,True,No,41054,Tier 1,Low-Cost,Bangalore,Sales & Services,0.58,27,NON QC,No,Business Operations,Male,Individual Contributor/Support,4,IC3,No,No,No,No Bonus Plan,17927.25,3,3,0.901,0.901,0.665297,No,0,0,0,0.58,0.58,0.58,No,No,Lower than average,Lower than average,Lower than average,-9.02,-79.0,-86.54,
4,No,No,True,No,2321,Tier 1,High-Cost,Fort Lauderdale,Engineering,19.17,44,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC6,Unknown,Yes,No,VCIP Plan,225461.45,3,3,0.964,1.002,2.335386,Yes,0,0,0,8.673972,19.17,5.07,No,No,Lower than average,Higher than average,Higher than average,-8.89,34.46,344.86,
5,No,Yes,False,No,14395,All Others,Low-Cost,All Other APAC,Sales & Services,9.0,37,QC,No,Sales,Male,Individual Contributor/Support,6,IC4,Yes,Yes,No,Comission Plan,135313.04,2,2,0.874,0.874,2.335386,Yes,0,0,1,2.336986,4.08,0.08,No,No,Higher than average,Higher than average,Higher than average,19.76,154.37,108.86,
6,No,Yes,False,No,40516,All Others,Low-Cost,All Other APAC,Sales & Services,0.83,46,QC,No,Sales,Male,Individual Contributor/Support,5,IC4,Yes,No,No,Comission Plan,104160.0,5,5,1.212,1.212,0.87885,Yes,0,0,1,0.83,0.83,0.56,No,No,Lower than average,Lower than average,Lower than average,-7.81,-76.54,-80.74,
7,No,No,True,No,40482,Tier 1,High-Cost,Raleigh,Engineering,0.75,27,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,No,No,VCIP Plan,129600.0,3,3,0.929,0.929,0.783025,Yes,0,0,2,0.75,0.75,0.08,No,No,Higher than average,Lower than average,Lower than average,3.08,-81.96,-82.6,
8,No,Yes,False,No,16556,Tier 1,High-Cost,Raleigh,Marketing,8.25,36,NON QC,Yes,Marketing,Male,People Manager,6,M4,Unknown,Yes,No,VCIP Plan,142096.32,2,2,0.831,0.831,0.835044,Yes,1,0,0,0.835616,8.25,3.17,No,Yes,Lower than average,Lower than average,Higher than average,-15.98,-7.9,91.45,
9,No,No,True,No,21648,Tier 1,Low-Cost,Bangalore,Engineering,6.33,37,NON QC,Yes,Engineering,Male,People Manager,6,M4,Unknown,Yes,No,VCIP Plan,70220.59,1,1,0.778,0.741,0.249144,Yes,1,0,0,0.249315,6.33,4.33,No,Yes,Lower than average,Lower than average,Higher than average,-16.82,-8.09,46.9,
10,No,Yes,False,No,38928,All Others,High-Cost,Remote AMS,Customer Experience,1.83,42,NON QC,No,Services,Male,Individual Contributor/Support,4,IC4,No,No,Yes,VCIP Plan,137093.9,3,4,1.095,1.126,0.150581,Yes,0,0,1,1.83,1.83,0.15,No,Yes,Lower than average,Lower than average,Lower than average,-3.55,-66.74,-57.53,
11,No,No,True,No,35714,Tier 2,High-Cost,Singapore,Sales & Services,3.33,48,NON QC,Yes,Marketing,Female,People Manager,5,M4,No,Yes,No,VCIP Plan,191810.39,3,3,0.958,0.958,0.832306,Yes,1,0,0,0.83,3.33,2.7,Yes,Yes,Lower than average,Higher than average,Lower than average,-8.66,4.76,-22.72,
12,No,No,True,No,38706,Tier 1,Low-Cost,Bangalore,Sales & Services,2.0,41,NON QC,No,General & Administration,Female,Individual Contributor/Support,4,IC4,No,No,No,VCIP Plan,44488.27,4,4,1.129,1.15,1.336071,Yes,0,0,1,2.0,2.0,0.75,No,No,Higher than average,Lower than average,Lower than average,38.57,-41.92,-53.59,
13,No,No,True,No,31264,Tier 1,Low-Cost,Bangalore,Engineering,5.25,29,NON QC,No,Engineering,Female,Individual Contributor/Support,5,IC3,Unknown,Yes,No,VCIP Plan,34631.23,2,2,0.862,0.862,1.336071,Yes,1,0,1,1.336986,5.25,0.29,No,No,Higher than average,Higher than average,Higher than average,10.62,39.15,21.83,
14,No,No,True,No,38613,Tier 1,Low-Cost,Bangalore,Engineering,2.0,26,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC3,Unknown,No,No,No Bonus Plan,24503.83,1,1,0.787,0.75,0.334017,No,1,0,0,0.33,2.0,2.0,No,Yes,Lower than average,Lower than average,Lower than average,-21.73,-46.99,-53.59,
